"species","ind","altura","d1","ar","arp","prot","volume","biov","biomassa","d2"
"lproteus",31,76,167.98,22161.33,22161.33,100,1122864.544,1122864.544,0.126883693,NA
"lproteus",32,140,303.42,72304.39,72304.39,100,6748621.421,6748621.421,0.762594221,NA
"lproteus",33,100,253.78,50584.27,11092.58,21.92891189,3372200.655,739486.9106,0.083562021,NA
"lproteus",34,160,287.72,65015.81,65015.81,100,6935195.502,6935195.502,0.783677092,NA
"lproteus",35,163,339.07,90297.77,90297.77,100,9812167.636,9812167.636,1.108774943,NA
"lproteus",36,82,144.84,16476.03,16476.03,100,900719.3797,900719.3797,0.10178129,NA
"lproteus",37,123,159.57,44226.21,44226.21,100,1639857.928,1639857.928,0.185303946,NA
"lproteus",38,40,120.88,11476.26,9266.01,80.74067684,306032.4762,247092.6927,0.027921474,NA
"lproteus",39,123,216.4,36778.44,36778.44,100,3015909.093,3015909.093,0.340797728,NA
"lproteus",40,156,417.46,136873.56,81723.76,59.70748478,14234852.07,8499272.133,0.960417751,NA
"lproteus",41,264,614.1,296191.59,235577.63,79.5355567,52129162.06,41461219.25,4.685117775,NA
"lproteus",42,210,454.3,162097.24,162097.24,100,22693599.74,22693599.74,2.564376771,NA
"lproteus",43,200,447.25,157102.83,34742.02,22.11419107,20947360.96,4632339.427,0.523454355,NA
"lproteus",44,195,350.77,96635.9,96635.9,100,12562559.14,12562559.14,1.419569183,NA
"lproteus",45,63,246.33,47658.38,47658.38,100,2001583.838,2001583.838,0.226178974,NA
"lproteus",46,120,233.44,42801.21,42801.21,100,3423973.679,3423973.679,0.386909026,NA
"lproteus",47,132,277.14,60323.57,60323.57,100,5308489.698,5308489.698,0.599859336,NA
"lproteus",48,92,167.66,22078.11,10681.14,48.37886939,1354083.273,655090.1782,0.07402519,NA
"lproteus",49,186,398.53,124741.06,124741.06,100,15467980.11,15467980.11,1.747881753,NA
"lproteus",50,116,266.17,55641.85,15620.91,28.07403061,4303034.428,1208035.202,0.136507978,NA
"lproteus",51,124,308.8,74892.31,32056.52,42.80348677,6191200.816,2650049.822,0.29945563,NA
"lproteus",52,135,288.37,65311.69,65311.69,100,5878040.117,5878040.117,0.664218533,NA
"lproteus",53,107,221.28,38457.37,38457.37,100,2743258.45,2743258.45,0.309988205,NA
"lproteus",54,99,250.71,49365.95,22888.54,46.36503501,3258195.434,1510663.454,0.17070497,NA
"lproteus",55,147,302.99,72101.77,72101.77,100,7065982.335,7065982.335,0.798456004,NA
"lproteus",56,132,252.24,49970.79,49970.79,100,4397445.534,4397445.534,0.496911345,NA
"lproteus",57,211,539.27,228406.17,228406.17,100,32128732.99,32128732.99,3.630546828,NA
"lproteus",58,198,482.52,182858.52,70928.8,38.78889537,24137620.28,9362716.276,1.057986939,NA
"lproteus",59,226,454.5,162242.14,162242.14,100,24444144.18,24444144.18,2.762188292,NA
"lproteus",60,215,359.39,101439.59,101439.59,100,14540155.79,14540155.79,1.643037604,NA
"lproteus",61,138,298.06,69775.4,69775.4,100,6419262.02,6419262.02,0.725376608,NA
"lproteus",62,120,265.04,55169.23,55169.23,100,4413699.018,4413699.018,0.498747989,NA
"lproteus",63,114,270.45,57447.39,57447.39,100,4365936.806,4365936.806,0.493350859,NA
"lproteus",64,155,492.63,239853.25,36542.63,15.23541165,27329863.69,4163817.237,0.470511348,NA
"lproteus",65,137,323.49,82189.29,82189.29,100,7506559.12,7506559.12,0.848241181,NA
"ldiscoideus",1,72,246.08,47561.27,26838.02,56.4283081591387,2282883.53091022,1288192.55373625,0.145565758572196,NA
"ldiscoideus",2,106,246.08,47559.87,30951.87,65.0798036243581,3360911.86495116,2187274.84169797,0.24716205711187,NA
"ldiscoideus",3,140,316.36,78604.3,78604.3,100,7336514.69527364,7336514.69527364,0.829026160565921,NA
"ldiscoideus",4,81.5,259.01,52688.48,24905.3,47.2689665748566,2862788.70380785,1353210.6355117,0.152912801812822,NA
"ldiscoideus",5,60,256.91,51837.24,16094.02,31.0472162483959,2073537.48574773,643775.667191648,0.0727466503926563,NA
"ldiscoideus",6,100,322.8,81838.25,28764.27,35.1477090480307,5455890.86486626,1917620.64716128,0.216691133129224,NA
"ldiscoideus",7,84,260.89,53456.02,53256.02,99.6258606607825,2993593.13324697,2982392.92367938,0.33701040037577,NA
"ldiscoideus",8,223,583.78,267659.1,238848.95,89.236252382228,39792562.751906,35509391.7266473,4.01256126511114,NA
"ldiscoideus",9,53,134.58,14225.79,9926.8,69.7803074556844,502615.109253987,350726.368556156,0.0396320796468456,NA
"ldiscoideus",10,117,269.13,56885.06,56885.06,100,4437196.961325,4437196.961325,0.501403256629725,NA
"ldiscoideus",11,56,183.51,26448.61,26448.61,100,987429.549893275,987429.549893275,0.11157953913794,NA
"lbradyi",1,250.69,55,33281.2,28895.17,86.821298510871,1830466,1589234.35,0.17958348155,169.24
"lbradyi",2,453.09,121,180998.55,180998.55,100,21900824.55,21900824.55,2.47479317415,543.95
"lbradyi",3,186.92,47,23513.58,11227.87,47.7505764753815,1105138.26,527709.89,0.05963121757,175.89
"lbradyi",4,633.85,137,221232.13,89427.73,40.4225778597349,30308801.81,12251599.01,1.38443068813,484
